SquareFootage,Bedrooms,Bathrooms,Price
1360,1,1,175577
4272,1,3,624718
3592,3,3,631128
966,3,1,229027
4926,3,3,814951
3944,4,1,620274
3671,1,1,606907
3419,4,2,595649
630,3,3,283285
2185,1,1,322022
1269,4,1,466514
2891,4,3,550404
2933,3,2,569062
1684,1,2,363937
3885,3,1,630712
4617,1,3,635549
3404,5,2,713080
974,2,3,383235
1582,2,3,349050
3058,2,1,568769
2547,3,2,528573
3247,5,1,731265
1475,1,2,297934
2306,4,2,512501
689,1,2,274622
3234,4,2,659341
3505,1,2,538921
2399,5,3,668257
1767,4,1,488247
2028,3,3,524002
3702,1,2,486703
4056,1,1,534858
4390,4,2,753973
1146,3,1,278565
3388,3,3,602954
2935,5,1,598648
1100,3,1,328797
2863,3,1,548280
2561,3,1,487238
741,2,1,197618
2541,5,2,678693
3324,1,1,474301
3112,4,1,650293
1863,1,3,335093
1978,5,1,538045
3056,4,3,723824
1275,5,2,332560
4514,3,1,688925
534,4,3,383767
3652,3,3,738880
2455,1,2,414755
2085,1,1,332678
4443,4,1,843688
3573,4,3,782459
1521,5,1,419090
3961,5,3,821140
3113,3,1,571568
4343,4,3,897089
2000,1,1,363303
661,5,2,384141
4797,5,1,866643
2481,1,1,283525
1495,5,2,537831
3842,3,1,673326
4298,4,2,836367
1775,1,1,285797
1516,4,3,478322
837,5,3,416373
1378,5,1,387957
1576,1,1,239007
4493,3,1,628194
879,2,3,341210
992,1,1,90295
2562,2,3,599047
4384,2,2,597873
564,3,3,382674
3068,2,3,512757
2527,2,2,491291
3195,3,3,585777
1995,2,1,453087
891,2,1,239105
4974,2,3,840564
4061,1,1,571122
2778,1,3,491007
3599,1,1,542685
700,3,1,237563
3604,5,3,708465
2954,2,1,419399
4145,2,3,689942
1304,3,1,312047
3231,2,1,410427
3273,1,2,528407
2070,5,2,497475
3190,4,3,614783
4340,2,2,678718
1528,1,3,278354
1002,4,2,386365
4993,5,1,977833
1370,4,3,435447
4988,1,3,685581
706,4,1,323795
1984,3,3,439318
1363,4,3,454747
3290,2,2,570581
1063,2,3,315800
4691,3,1,745747
2257,1,2,390444
2178,2,2,501215
3742,5,1,716394
1559,2,1,323451
2222,2,2,469982
3814,1,3,621231
3657,4,2,680929
3125,2,1,550093
3229,3,2,553917
2097,4,1,470302
3560,5,2,698645
3193,1,3,551968
4127,5,2,864719
1863,4,2,494726
2481,4,1,531483
2163,4,1,445809
2029,5,1,488352
2538,4,2,504896
3802,5,3,687405
2737,4,1,538888
1806,3,1,381814
4529,4,2,912122
3175,5,1,739140
1782,2,3,431622
1209,4,3,539303
4913,2,1,789105
4248,3,1,589381
1163,1,2,302932
2498,3,3,575332
3945,4,3,748931
4243,2,1,568399
1995,2,2,429170
3804,5,3,692523
4263,2,3,700486
2353,5,2,561505
1791,1,2,261977
4081,4,3,839160
3957,5,3,812774
2136,1,2,375018
4196,2,3,738913
3499,2,1,549440
3652,1,1,540810
1198,2,2,344552
2660,1,2,457537
4597,5,2,875939
1354,5,1,531635
3974,1,3,678978
2207,5,1,540551
3277,5,3,687755
2233,5,1,579891
4010,3,3,731993
702,4,1,399689
3755,2,2,659974
4718,3,1,784370
4996,5,3,940167
1266,1,1,188135
4889,5,1,856781
2827,4,1,593081
3431,5,2,635240
697,1,1,225725
2430,4,2,654952
4082,5,2,702593
1108,4,1,292949
3772,2,1,594123
1647,2,1,298510
4782,5,3,926885
3897,4,1,694056
3011,1,2,420129
2294,5,1,619700
1159,2,3,352305
3311,2,1,499332
1869,5,3,639531
2486,4,3,562899
646,2,1,145427
3719,4,2,715455
3411,2,3,616977
2234,2,1,424675
2343,3,1,495977
988,2,2,304366
3476,1,3,580894
2459,5,3,606392
2885,5,1,592162
3419,4,1,677398
2302,2,2,448412
4561,1,2,698332
3869,4,3,668916
762,3,3,306400
1123,4,1,460110
1516,4,3,499546
4143,2,2,671937
2549,3,2,551276
4223,4,1,847182
3608,1,2,642862
4590,1,2,581823
